Trading Name,Code,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,RIC
Amplefield Ltd,AOF,0.026,0.48,23.416,9.752,72.22,,Real Estate,80,AMPL.SI
AMTD IDEA OV,HKB,12.97,13.36,370.052,118.729,0.75,,Banking & Investment Services,,AMTD.N
AnAn Intl,Y35,0.024,24.27,93.13,3919.582,3.81,,Energy - Fossil Fuels,32,ANAN.SI
Anchun Intl,BTX,0.3,5.3,15.15,31.555,5.15,,Industrial Goods,58,ANIH.SI
AnnAik,A52,0.075,7.46,22.054,122.771,4.57,9.33,Mineral Resources,60,AAIK.SI
Annica,5AL,0.001,-139.12,16.975,6.674,,,Energy - Fossil Fuels,47,ANHL.SI
Aoxin Q & M,1D4,0.169,-1.57,86.408,27.485,,,Healthcare Services,83,AOXI.SI
AP Oil,5AU,0.155,3.53,25.502,59.093,12.25,6.45,Chemicals,75,AOIL.SI
AP Strategic,5RA,0.001,-43.15,17.826,1.207,,,Cyclical Consumer Services,44,ASIC.SI
APAC Realty,CLN,0.57,21.3,200.687,719.253,5.73,13.27,Real Estate,77,APAC.SI
Arion Ent,YYB,0.007,-61.8,5.604,0.931,,,Cyclical Consumer Services,,ARIO.SI
Ascent Bridge,AWG,0.8,-17.43,72.065,9.567,,,Mineral Resources,65,ASCE.SI
Asia Enterprises,A55,0.155,5.14,49.578,48.801,10.13,5.52,Mineral Resources,63,AEHL.SI
Asia Vets,5RE,0.05,-3.72,7.307,2.522,,4,Healthcare Services,71,ASIV.SI
Asian Healthcare,1J3,0.189,10.09,109.312,28.037,18.86,3.7,Healthcare Services,86,ASAI.SI
AsiaPhos,5WV,0.017,-6.35,16.504,2.304,,,Chemicals,64,ASIP.SI
Asiatic,5CR,0.003,-29.68,4.669,39.665,,,Industrial Goods,49,ATIC.SI
ASL Marine,A04,0.036,-42.15,21.527,252.134,,,Industrial Goods,60,ASLM.SI
Aspen,1F3,0.038,-14.3,41.166,56.931,,,Real Estate,76,ASPE.SI
Aspial Corp,A30,0.08,-0.07,173.726,469.522,,9.38,Cyclical Consumer Products,34,ASPA.SI
Aspial Lifestyle,5UF,0.158,10.58,219.247,255.288,10.69,,Retailers,63,ASPL.SI
Astaka,42S,0.088,3.23,166.573,11.669,,,Real Estate,47,ASTA.SI
Atlantic Nav,5UL,0.092,10.68,48.163,80.427,4.61,,Energy - Fossil Fuels,57,ATLA.SI
Audience,1AZ,0.22,,42.05,,,5.04,Cyclical Consumer Services,,AUDI.SI
AusGroup,5GJ,0.009,-137.22,27.659,225.807,,,Energy - Fossil Fuels,58,AUSG.SI
Avarga,U09,0.22,14,213.783,2371.441,4.62,3.73,Cyclical Consumer Products,86,AVAR.SI
Avi-Tech Hldg,1R6,0.275,,47.038,30.849,14.97,5,Technology Equipment,,AVTO.SI
AVJennings A$,A05,0.355,3.2,162.492,222.814,12.42,4.43,Real Estate,,AVJ.AX
Axington,42U,0.19,-3.5,36.344,0,,,Industrial & Commercial Services,84,AXIN.SI
Axington R,IXOR,0,,,,,,,,
Axington R1,QPQR,0,,,,,,,,
Azeus,BBW,7.65,33.65,229.5,41.515,25.75,3.28,Software & IT Services,57,AZEU.SI
Aztech Gbl,8AZ,0.815,,630.668,,,3.68,Industrial Goods,,AZTE.SI
B&M Hldg,CJN,2.96,-11.61,25.112,3.181,,0.51,Banking & Investment Services,67,BMHL.SI
Baker Technology,BTP,0.55,5.29,113.612,86.25,10.48,0.89,Holding Companies,80,BATE.SI
Ban Leong,B26,0.35,19.17,40.775,217.163,5.28,10.71,Technology Equipment,76,BANL.SI
Banyan Tree,B58,0.275,-2.42,238.682,283.385,,,Cyclical Consumer Services,86,BANY.SI
BBR,KJ5,0.119,8.41,38.965,175.994,4.92,2.5,Industrial & Commercial Services,61,BBRS.SI
Beng Kuang,BEZ,0.055,-38.39,10.957,54.221,,,Industrial & Commercial Services,71,BENK.SI
Best World,CGN,1.76,30.96,802.803,530.49,6.43,,Retailers,64,BEST.SI
Beverly JCG,VFP,0.001,-139.95,19.681,9.866,,,Healthcare Services,48,BEVE.SI
BH Global,BQN,0.111,7.2,33.3,47.869,8.87,4.5,Industrial Goods,50,BHGC.SI
Biolidics,8YY,0.025,,13.803,,,,Healthcare Services,,BIOL.SI
BlackGoldNatural,41H,0.008,,7.346,15.761,,,Energy - Fossil Fuels,66,BLAC.SI
Boldtek,5VI,0.034,-12.52,12.025,53.382,,,Real Estate,64,BOLD.SI
Bonvests,B28,0.945,2.93,379.434,167.639,15.46,0.79,Cyclical Consumer Services,62,BVHS.SI
Boustead,F9D,0.785,7.39,395.053,538.371,11.94,5.06,Industrial & Commercial Services,80,BTSS.SI
Boustead Proj,AVM,0.775,3.35,246.4,277.692,18.41,0.26,Industrial & Commercial Services,87,BOUS.SI
BRC Asia,BEC,1.83,20.92,502.278,1469.251,6.96,5.49,Cyclical Consumer Products,60,BRCA.SI
Broadway Ind,B69,0.118,17.07,55.686,488.435,3.65,8.47,Industrial Goods,31,BRWY.SI
Brook Crompton,AWC,0.725,6.54,25.708,54.966,9.92,2.76,Industrial Goods,69,BROO.SI
Bukit Sembawang,B61,4.28,2.9,1108.139,210.059,26.3,0.93,Real Estate,68,BSES.SI
Bumitama Agri,P8Z,0.62,32.45,1080.882,1372.328,3.62,7.4,Food & Beverages,51,BUMI.SI
Bund Center,BTE,0.47,0.84,357.43,73.782,97.51,10.64,Real Estate,36,BCIL.SI
Camsing Hc,BAC,1.07,,31.051,5.461,,,Retailers,44,CAMS.SI
Capital World,1D5,0.005,149.79,9.327,1.208,,,Real Estate,53,CAPI.SI
CapitaLandInvest,9CI,3.67,,19355.889,2598,9.04,,Real Estate,,CAPN.SI
Captii,AWV,0.385,19.08,13.262,22.971,1.47,4.52,Telecommunications Services,33,CAPT.SI
Casa,C04,0.082,2.97,17.206,21.676,9.75,3.66,Cyclical Consumer Products,62,CASA.SI
CDW,BXE,0.225,9.43,56.74,192.424,8.34,7.43,Technology Equipment,82,CDWH.SI
Centurion,OU8,0.335,11.9,285.865,168.818,3.72,2.21,Real Estate,71,CNCL.SI
CFM,5EB,0.109,16.29,20.355,26.851,10.78,,Industrial Goods,56,CFMH.SI
CH Offshore,C13,0.045,-6.51,38.78,24.382,,,Energy - Fossil Fuels,51,CHOF.SI
Charisma Energy,5QT,0.002,,26.554,18.376,,,Utilities,52,CHAR.SI
Chasen,5NV,0.06,3.05,23.332,161.746,11.98,,Transportation,71,CHHL.SI
ChasWood Res,5TW,0.009,,2.27,0.921,,,Cyclical Consumer Services,41,CHAS.SI
Chemical Ind,C05,0.68,8.02,51.643,100.533,5.17,2.21,Chemicals,49,CHEM.SI
China Aviation,G92,0.775,4.01,666.962,24686.508,13.68,2.47,Transportation,78,CNAO.SI
China Env,5OU,0.037,-23.23,31.133,1.124,,,Industrial & Commercial Services,59,CHEN.SI
China Env Res,RS1,0.007,-4.01,101.827,93.188,,,Automobiles & Auto Parts,,1130.HK
China Everbright,U9E,0.25,9.96,715.219,1266.126,3.51,8.68,Utilities,69,CEWL.SI
China Fishery,B0Z,0.076,2.22,269.775,659.91,,,Food & Beverages,45,CNFG.SI
China Intl,BEH,0.102,-17.25,7.739,19.894,,29.41,Industrial & Commercial Services,61,CHNA.SI
China Mining,BHD,0.053,35.59,21.624,5.687,1.13,,Real Estate,60,CMIL.SI
China Yuanbang,BCD,0.185,-13.39,12.839,15.216,,,Real Estate,59,CYBP.SI
ChinaKangdaFood,P74,0.03,-1.29,129.884,1773.354,,,Food & Beverages,56,0834.HK
